name,website,status,csd_type,census_div,latitude,longitude,land_area_km2,population_1996,population_2001,population_2006,population_2011,population_2016,population_2021,density_1996,density_2001,density_2006,density_2011,density_2016,density_2021,pop_change_1996_2001_pct,pop_change_2001_2006_pct,pop_change_2006_2011_pct,pop_change_2011_2016_pct,pop_change_2016_2021_pct
Fauquier-Strickland,https://www.fauquierstrickland.com,single-tier,township,Cochrane,49.276389,-82.037222,1010.45,684,678,568,530,536,467,0.68,0.67,0.56,0.52,0.53,0.46,-0.0088,-0.1622,-0.0669,0.0113,-0.1287
Fort Erie,http://www.forterie.ca,lower-tier,town,Niagara,42.916667,-79.016667,166.24,27183,28143,29925,29960,30710,32901,163.52,169.29,180.01,180.22,184.73,197.91,0.0353,0.0633,0.0012,0.025,0.0713
Fort Frances,https://fort-frances.com,single-tier,town,Rainy River,48.616667,-93.4,25.55,8790,8315,8103,7952,7739,7466,344.03,325.44,317.14,311.23,302.9,292.21,-0.054,-0.0255,-0.0186,-0.0268,-0.0353
French River,https://www.frenchriver.ca,single-tier,municipality,Sudbury,46.166667,-80.5,717.91,2847,2810,2659,2442,2662,2828,3.97,3.91,3.7,3.4,3.71,3.94,-0.013,-0.0537,-0.0816,0.0901,0.0624
Front of Yonge,https://mallorytown.ca,lower-tier,township,Leeds and Grenville,44.533333,-75.866667,125.25,2530,2639,2803,2752,2602,2595,20.2,21.07,22.38,21.97,20.77,20.72,0.0431,0.0621,-0.0182,-0.0545,-0.0027
Frontenac Islands,https://www.frontenacislands.ca,lower-tier,township,Frontenac,44.2,-76.383333,176.82,1661,1638,1862,1864,1760,1930,9.39,9.26,10.53,10.54,9.95,10.92,-0.0138,0.1368,0.0011,-0.0558,0.0966
Gananoque,https://www.gananoque.ca,single-tier,town,Leeds and Grenville,44.33,-76.17,7.01,5219,5167,5285,5194,5159,5383,744.51,737.09,753.92,740.94,735.95,767.9,-0.01,0.0228,-0.0172,-0.0067,0.0434
Gauthier,,single-tier,township,Timiskaming,48.1458,-79.8225,87.98,152,128,133,123,138,151,1.73,1.45,1.51,1.4,1.57,1.72,-0.1579,0.0391,-0.0752,0.122,0.0942
Georgian Bay,https://www.gbtownship.ca,lower-tier,township,Muskoka,44.983333,-79.816667,525.29,2230,1991,2340,2482,2514,3441,4.25,3.79,4.45,4.73,4.79,6.55,-0.1072,0.1753,0.0607,0.0129,0.36870000000000003
Georgian Bluffs,http://www.georgianbluffs.on.ca,lower-tier,township,Grey,44.65,-81.033333,599.96,10256,10152,10506,10404,10479,11100,17.09,16.92,17.51,17.34,17.47,18.5,-0.0101,0.0349,-0.0097,0.0072,0.0593
Georgina,https://www.georgina.ca,lower-tier,town,York,44.3,-79.433333,287.69,34777,39263,42346,43517,45418,47642,120.88,136.48,147.19,151.26,157.87,165.6,0.129,0.0785,0.0277,0.0437,0.049
Gillies,https://www.gilliestownship.com,single-tier,township,Thunder Bay,48.266667,-89.7,92.68,497,522,544,473,474,441,5.36,5.63,5.87,5.1,5.11,4.76,0.0503,0.0421,-0.1305,0.0021,-0.0696
Goderich,https://www.goderich.ca,lower-tier,town,Huron,43.733333,-81.7,8.54,7553,7604,7563,7526,7628,7881,884.43,890.4,885.6,881.26,893.21,922.83,0.0068,-0.0054,-0.0049,0.0136,0.0332
Gordon/Barrie Island,http://gordonbarrieisland.ca,single-tier,municipality,Manitoulin,45.9,-82.633333,263.44,530,523,459,526,490,613,2.01,1.99,1.74,2,1.86,2.33,-0.0132,-0.1224,0.146,-0.0684,0.251
Gore Bay,http://www.gorebay.ca,single-tier,town,Manitoulin,45.916667,-82.466667,5.14,907,898,924,850,867,808,176.46,174.71,179.77,165.37,168.68,157.2,-0.0099,0.029,-0.0801,0.02,-0.0681
Grand Valley,https://www.townofgrandvalley.ca,lower-tier,town,Dufferin,43.95,-80.366667,158.6,2773,2842,2844,2726,2956,3851,17.48,17.92,17.93,17.19,18.64,24.28,0.0249,7e-4,-0.0415,0.0844,0.3028
Gravenhurst,https://www.gravenhurst.ca,lower-tier,town,Muskoka,44.916667,-79.366667,489.11,10030,10899,11046,12055,12311,13157,20.51,22.28,22.58,24.65,25.17,26.9,0.0866,0.0135,0.0913,0.0212,0.0687
Greater Madawaska,https://www.greatermadawaska.com,lower-tier,township,Renfrew,45.272222,-76.858889,1018.15,2033,2290,2751,2485,2518,2864,2,2.25,2.7,2.44,2.47,2.81,0.1264,0.2013,-0.0967,0.0133,0.1374
Greater Napanee,https://www.greaternapanee.com,lower-tier,town,Lennox and Addington,44.25,-76.95,462.3,14944,15132,15400,15511,15892,16879,32.33,32.73,33.31,33.55,34.38,36.51,0.0126,0.0177,0.0072,0.0246,0.0621
Greater Sudbury,https://www.greatersudbury.ca,single-tier,city,Greater Sudbury,46.577778,-81.069444,3186.26,165336,155219,157857,160274,161531,166004,51.89,48.72,49.54,50.3,50.7,52.1,-0.0612,0.017,0.0153,0.0078,0.0277
Greenstone,https://www.greenstone.ca,single-tier,municipality,Thunder Bay,49.725194,-86.951389,2727.04,6530,5901,4886,4724,4636,4309,2.39,2.16,1.79,1.73,1.7,1.58,-0.0963,-0.172,-0.0332,-0.0186,-0.0705
Grey Highlands,https://www.greyhighlands.ca,lower-tier,municipality,Grey,44.333333,-80.5,879.03,8620,9196,9480,9520,9804,10424,9.81,10.46,10.78,10.83,11.15,11.86,0.0668,0.0309,0.0042,0.0298,0.0632
Grimsby,https://www.grimsby.ca,lower-tier,town,Niagara,43.2,-79.55,68.71,19585,21297,23937,25325,27314,28883,285.04,309.95,348.38,368.58,397.53,420.36,0.0874,0.124,0.058,0.0785,0.0574
Guelph,https://guelph.ca,single-tier,city,Wellington,43.535833,-80.228889,87.43,95821,106170,114943,121688,131794,143740,1095.97,1214.34,1314.69,1391.83,1507.42,1644.06,0.108,0.0826,0.0587,0.083,0.0906
Guelph/Eramosa,https://www.get.on.ca,lower-tier,township,Wellington,43.63,-80.22,292.84,10176,11174,12066,12380,12854,13904,34.75,38.16,41.2,42.28,43.89,47.48,0.0981,0.0798,0.026,0.0383,0.0817
Haldimand,https://www.haldimandcounty.ca,single-tier,city,Haldimand-Norfolk,42.933333,-79.883333,1250.45,42041,43728,45212,44876,45608,49216,33.62,34.97,36.16,35.89,36.47,39.36,0.0401,0.0339,-0.0074,0.0163,0.0791
Halton Hills,https://www.haltonhills.ca,lower-tier,town,Halton,43.626944,-79.951389,276.81,42390,48184,55289,59013,61161,62951,153.14,174.07,199.74,213.19,220.95,227.42,0.1367,0.1475,0.0674,0.0364,0.0293
Hamilton,https://www.hamiltontownship.ca,lower-tier,township,Northumberland,44.05,-78.216667,256.03,10140,10785,10972,10702,10942,11059,39.6,42.12,42.85,41.8,42.74,43.19,0.0636,0.0173,-0.0246,0.0224,0.0107
Hamilton,https://www.hamilton.ca,single-tier,city,Hamilton,43.256667,-79.869167,1118.31,467799,490268,504559,519949,536917,569353,418.31,438.4,451.18,464.94,480.11,509.12,0.048,0.0291,0.0305,0.0326,0.0604
Hanover,https://www.hanover.ca,lower-tier,town,Grey,44.15,-81.033333,9.78,6844,6869,7147,7490,7688,7967,699.8,702.35,730.78,765.85,786.09,814.62,0.0037,0.0405,0.048,0.0264,0.0363
Harley,http://harley.ca,single-tier,township,Timiskaming,47.62,-79.7,92.34,608,557,551,539,551,524,6.58,6.03,5.97,5.84,5.97,5.67,-0.0839,-0.0108,-0.0218,0.0223,-0.049
Harris,https://harristownship.weebly.com,single-tier,township,Timiskaming,47.566667,-79.566667,49.81,553,518,512,523,545,530,11.1,10.4,10.28,10.5,10.94,10.64,-0.0633,-0.0116,0.0215,0.0421,-0.0275
Hastings Highlands,https://hastingshighlands.ca,lower-tier,municipality,Hastings,45.233333,-77.933333,966.58,3829,3992,4033,4168,4078,4385,3.96,4.13,4.17,4.31,4.22,4.54,0.0426,0.0103,0.0335,-0.0216,0.0753
Havelock-Belmont-Methuen,https://www.hbmtwp.ca,lower-tier,township,Peterborough,44.566667,-77.9,529.35,4327,4479,4637,4523,4530,5083,8.17,8.46,8.76,8.54,8.56,9.6,0.0351,0.0353,-0.0246,0.0015,0.1221
Hawkesbury,https://www.hawkesbury.ca,lower-tier,town,Prescott and Russell,45.6083,-74.6017,10.1,10162,10314,10869,10551,10263,10194,1006.14,1021.19,1076.14,1044.65,1016.14,1009.31,0.015,0.0538,-0.0293,-0.0273,-0.0067
"Head, Clara and Maria",https://www.townshipsofheadclaramaria.ca,lower-tier,township,Renfrew,46.166667,-78,719.2,294,228,228,235,248,267,0.41,0.32,0.32,0.33,0.34,0.37,-0.2245,0,0.0307,0.0553,0.0766
Hearst,http://www.hearst.ca,single-tier,town,Cochrane,49.686944,-83.654444,98.06,6049,5825,5620,5090,5070,4794,61.69,59.4,57.31,51.91,51.7,48.89,-0.037,-0.0352,-0.0943,-0.0039,-0.0544
Highlands East,https://www.highlandseast.ca,lower-tier,municipality,Haliburton,44.966667,-78.25,688.18,2918,3022,3089,3249,3343,3830,4.24,4.39,4.49,4.72,4.86,5.57,0.0356,0.0222,0.0518,0.0289,0.1457
Hilliard,https://townshipofhilliard.ca,single-tier,township,Timiskaming,47.725,-79.7,91.27,253,241,222,204,207,215,2.77,2.64,2.43,2.24,2.27,2.36,-0.0474,-0.0788,-0.0811,0.0147,0.0386
Hilton,https://www.hiltontownship.ca,single-tier,township,Algoma,46.216667,-83.883333,114.77,255,258,172,261,307,382,2.22,2.25,1.5,2.27,2.67,3.33,0.0118,-0.3333,0.5174,0.1762,0.2443
Hilton Beach,https://hiltonbeach.com,single-tier,village,Algoma,46.25,-83.883333,2.52,213,174,243,145,171,198,84.52,69.05,96.43,57.54,67.86,78.57,-0.1831,0.3966,-0.4033,0.1793,0.1579
Hornepayne,https://www.townshipofhornepayne.ca,single-tier,township,Algoma,49.216667,-84.783333,203.04,1480,1362,1209,1050,980,968,7.29,6.71,5.95,5.17,4.83,4.77,-0.0797,-0.1123,-0.1315,-0.0667,-0.0122
Horton,https://www.hortontownship.ca,lower-tier,township,Renfrew,45.5,-76.666667,158.02,2515,2567,2803,2719,2887,3182,15.92,16.24,17.74,17.21,18.27,20.14,0.0207,0.0919,-0.03,0.0618,0.1022
Howick,http://www.town.howick.on.ca,lower-tier,township,Huron,43.9,-81.07,286.55,3685,3779,3882,3856,3873,4045,12.86,13.19,13.55,13.46,13.52,14.12,0.0255,0.0273,-0.0067,0.0044,0.0444
Hudson,http://hudson.ca,single-tier,township,Timiskaming,47.5372,-79.8242,90.28,501,490,455,476,503,530,5.55,5.43,5.04,5.27,5.57,5.87,-0.022,-0.0714,0.0462,0.0567,0.0537
Huntsville,http://www.town.huntsville.on.ca,lower-tier,town,Muskoka,45.333333,-79.216667,705.18,15918,17338,18280,19056,19816,21147,22.57,24.59,25.92,27.02,28.1,29.99,0.0892,0.0543,0.0425,0.0399,0.0672
Huron East,https://www.huroneast.com,lower-tier,municipality,Huron,43.63,-81.28,669.15,9937,9680,9310,9264,9138,9512,14.85,14.47,13.91,13.84,13.66,14.22,-0.0259,-0.0382,-0.0049,-0.0136,0.0409
Huron Shores,https://huronshores.ca,single-tier,municipality,Algoma,46.283333,-83.2,451.87,1877,1794,1696,1723,1664,1860,4.15,3.97,3.75,3.81,3.68,4.12,-0.0442,-0.0546,0.0159,-0.0342,0.1178
Huron-Kinloss,https://www.huronkinloss.com,lower-tier,township,Bruce,44.05,-81.533333,440.73,6284,6224,6515,6790,7069,7723,14.26,14.12,14.78,15.41,16.04,17.52,-0.0095,0.0468,0.0422,0.0411,0.0925
Ignace,https://www.ignace.ca,single-tier,township,Kenora,49.416667,-91.666667,72.13,1782,1709,1431,1202,1202,1206,24.71,23.69,19.84,16.66,16.66,16.72,-0.041,-0.1627,-0.16,0,0.0033
Ingersoll,https://www.ingersoll.ca,lower-tier,town,Oxford,43.039167,-80.883611,12.73,10502,10977,11760,12146,12757,13693,824.98,862.29,923.8,954.12,1002.12,1075.65,0.0452,0.0713,0.0328,0.0503,0.0734
Innisfil,https://innisfil.ca,lower-tier,town,Simcoe,44.3,-79.583333,262.39,24711,28666,31175,32727,36566,43326,94.18,109.25,118.81,124.73,139.36,165.12,0.1601,0.0875,0.0498,0.1173,0.1849
Iroquois Falls,https://www.iroquoisfalls.com,single-tier,town,Cochrane,48.766667,-80.666667,599.03,5714,5217,4729,4595,4537,4418,9.54,8.71,7.89,7.67,7.57,7.38,-0.087,-0.0935,-0.0283,-0.0126,-0.0262
James,http://www.elklake.ca,single-tier,township,Timiskaming,47.710556,-80.339444,85.4,483,467,414,424,420,348,5.66,5.47,4.85,4.96,4.92,4.07,-0.0331,-0.1135,0.0242,-0.0094,-0.1714
Jocelyn,http://jocelyntownship.com,single-tier,township,Algoma,46.183333,-83.966667,130.43,294,298,277,237,313,314,2.25,2.28,2.12,1.82,2.4,2.41,0.0136,-0.0705,-0.1444,0.3207,0.0032
Johnson,https://johnsontownship.ca,single-tier,township,Algoma,46.333333,-83.933333,119.47,729,658,701,750,751,749,6.1,5.51,5.87,6.28,6.29,6.27,-0.0974,0.0653,0.0699,0.0013,-0.0027
Joly,https://townshipofjoly.com,single-tier,township,Parry Sound,45.783333,-79.25,193.95,311,290,280,284,304,293,1.6,1.5,1.44,1.46,1.57,1.51,-0.0675,-0.0345,0.0143,0.0704,-0.0362
Kapuskasing,http://www.kapuskasing.ca,single-tier,town,Cochrane,49.416667,-82.433333,83.98,10036,9238,8509,8196,8292,8057,119.5,110,101.32,97.59,98.74,95.94,-0.0795,-0.0789,-0.0368,0.0117,-0.0283
Kawartha Lakes,https://www.kawarthalakes.ca,single-tier,city,Kawartha Lakes,44.35,-78.75,3033.66,67926,69179,74561,73219,75423,79247,22.39,22.8,24.58,24.14,24.86,26.12,0.0184,0.0778,-0.018,0.0301,0.0507
Kearney,https://townofkearney.ca,single-tier,town,Parry Sound,45.6,-79.116667,528.21,837,773,798,841,882,974,1.58,1.46,1.51,1.59,1.67,1.84,-0.0765,0.0323,0.053900000000000003,0.0488,0.1043
Kenora,https://www.kenora.ca,single-tier,city,Kenora,49.766667,-94.483333,211.65,10063,15838,15177,15348,15096,14967,47.55,74.83,71.71,72.52,71.33,70.72,0.5739,-0.0417,0.0113,-0.0164,-0.0085
Kerns,http://kerns.ca,single-tier,township,Timiskaming,47.6083,-79.8,90.66,400,360,325,359,358,330,4.41,3.97,3.58,3.96,3.95,3.64,-0.1,-0.0972,0.1046,-0.0028,-0.0782
"Killaloe, Hagarty and Richards",https://www.killaloe-hagarty-richards.ca,lower-tier,township,Renfrew,45.6,-77.5,391.6,2347,2492,2550,2402,2420,2410,5.99,6.36,6.51,6.13,6.18,6.15,0.0618,0.0233,-0.058,0.0075,-0.0041
Killarney,http://www.municipalityofkillarney.ca,single-tier,municipality,Sudbury,45.983333,-81.516667,1469.4,738,428,459,505,386,397,0.5,0.29,0.31,0.34,0.26,0.27,-0.4201,0.0724,0.1002,-0.2356,0.0285
Kincardine,http://www.kincardine.net,lower-tier,municipality,Bruce,44.166667,-81.633333,537.8,11908,11029,11173,11174,11389,12268,22.14,20.51,20.78,20.78,21.18,22.81,-0.0738,0.0131,1e-4,0.0192,0.0772
King,https://www.king.ca,lower-tier,township,York,44.0463,-79.6044,332.12,16573,18533,19487,19899,24512,27333,49.9,55.8,58.67,59.92,73.8,82.3,0.1183,0.0515,0.0211,0.2318,0.1151
Kingston,https://www.cityofkingston.ca,single-tier,city,Frontenac,44.234722,-76.510833,451.58,112605,114195,117207,123363,123798,132485,249.36,252.88,259.55,273.18,274.14,293.38,0.0141,0.0264,0.0525,0.0035,0.0702
Kingsville,https://www.kingsville.ca,lower-tier,town,Essex,42.1,-82.716667,246.08,18409,19619,20908,21362,21552,22119,74.81,79.73,84.96,86.81,87.58,89.89,0.0657,0.0657,0.0217,0.0089,0.0263
Kirkland Lake,https://www.kirklandlake.ca,single-tier,town,Timiskaming,48.15,-80.033333,261.29,9905,8616,8248,8493,7981,7750,37.91,32.97,31.57,32.5,30.54,29.66,-0.1301,-0.0427,0.0297,-0.0603,-0.0289
Kitchener,https://www.kitchener.ca,lower-tier,city,Waterloo,43.418611,-80.472778,136.81,178420,190399,204668,219153,233222,256885,1304.14,1391.7,1496,1601.88,1704.71,1877.68,0.0671,0.0749,0.0708,0.0642,0.1015
La Vallee,https://lavallee.ca,single-tier,township,Rainy River,48.616667,-93.65,237.12,1130,1073,1067,988,938,788,4.77,4.53,4.5,4.17,3.96,3.32,-0.0504,-0.0056,-0.074,-0.0506,-0.1599
Laird,https://lairdtownship.ca,single-tier,township,Algoma,46.383333,-84.066667,103.25,1073,1021,1078,1057,1047,1121,10.39,9.89,10.44,10.24,10.14,10.86,-0.0485,0.0558,-0.0195,-0.0095,0.0707
Lake of Bays,https://www.lakeofbays.on.ca,lower-tier,township,Muskoka,45.3075,-79.006389,667.43,2850,2900,3570,3476,3167,3759,4.27,4.35,5.35,5.21,4.75,5.63,0.0175,0.231,-0.0263,-0.0889,0.1869
Lake of the Woods,https://www.lakeofthewoods.ca,single-tier,township,Rainy River,49,-94.383333,746.24,432,330,323,296,230,308,0.58,0.44,0.43,0.4,0.31,0.41,-0.2361,-0.0212,-0.0836,-0.223,0.3391
Lakeshore,https://www.lakeshore.ca,lower-tier,town,Essex,42.25,-82.683333,529,26127,28746,33245,34546,36611,40410,49.39,54.34,62.84,65.3,69.21,76.39,0.1002,0.1565,0.0391,0.0598,0.1038
Lambton Shores,https://www.lambtonshores.ca,lower-tier,municipality,Lambton,43.183333,-81.9,330.57,10874,10571,11150,10656,10631,11876,32.89,31.98,33.73,32.24,32.16,35.93,-0.0279,0.0548,-0.0443,-0.0023,0.1171
Lanark Highlands,https://www.lanarkhighlands.ca,lower-tier,township,Lanark,45.088,-76.517,1031.52,4629,4795,5180,5128,5338,5737,4.49,4.65,5.02,4.97,5.17,5.56,0.0359,0.0803,-0.01,0.041,0.0747
Larder Lake,https://larderlake.ca,single-tier,township,Timiskaming,48.1,-79.7167,227.62,982,790,735,684,730,745,4.31,3.47,3.23,3.01,3.21,3.27,-0.1955,-0.0696,-0.0694,0.0673,0.0205
LaSalle,https://www.lasalle.ca,lower-tier,town,Essex,42.216667,-83.066667,64.96,20566,25285,27652,28643,30180,32721,316.59,389.24,425.68,440.93,464.59,503.71,0.2295,0.0936,0.0358,0.0537,0.0842
Latchford,https://www.latchford.ca,single-tier,town,Timiskaming,47.328889,-79.810278,152.26,338,363,390,387,313,355,2.22,2.38,2.56,2.54,2.06,2.33,0.074,0.0744,-0.0077,-0.1912,0.1342
Laurentian Hills,https://www.laurentianhills.ca,lower-tier,town,Renfrew,46.133333,-77.55,634.31,2784,2750,2789,2811,2961,2885,4.39,4.34,4.4,4.43,4.67,4.55,-0.0122,0.0142,0.0079,0.0534,-0.0257
Laurentian Valley,https://www.lvtownship.ca,lower-tier,township,Renfrew,45.768056,-77.223889,539.08,8978,8733,9265,9657,9387,9450,16.65,16.2,17.19,17.91,17.41,17.53,-0.0273,0.0609,0.0423,-0.028,0.0067
Leamington,https://www.leamington.ca,lower-tier,municipality,Essex,42.066667,-82.583333,261.24,25389,27138,28833,28403,27595,29680,97.19,103.88,110.37,108.72,105.63,113.61,0.0689,0.0625,-0.0149,-0.0284,0.0756
Leeds and the Thousand Islands,https://www.leeds1000islands.ca,lower-tier,township,Leeds and Grenville,44.486667,-76.0925,608.09,9175,9069,9435,9277,9465,9804,15.09,14.91,15.52,15.26,15.57,16.12,-0.0116,0.0404,-0.0167,0.0203,0.0358
Limerick,https://limerick.ca,lower-tier,township,Hastings,44.9,-77.666667,201.04,396,362,364,352,346,436,1.97,1.8,1.81,1.75,1.72,2.17,-0.0859,0.0055,-0.033,-0.017,0.2601
Lincoln,https://lincoln.ca,lower-tier,town,Niagara,43.1528,-79.4183,162.74,18801,20612,21722,22487,23787,25719,115.53,126.66,133.48,138.18,146.17,158.04,0.0963,0.053900000000000003,0.0352,0.0578,0.0812
London,https://london.ca,single-tier,city,Middlesex,42.9675,-81.2325,420.5,325699,336359,352395,366151,383822,422324,774.55,799.9,838.04,870.75,912.78,1004.34,0.0327,0.0477,0.039,0.0483,0.1003
Loyalist,https://www.loyalist.ca,lower-tier,township,Lennox and Addington,44.243611,-76.769167,342.72,14551,14590,15062,16221,16971,17943,42.46,42.57,43.95,47.33,49.52,52.35,0.0027,0.0324,0.0769,0.0462,0.0573
Lucan Biddulph,https://lucanbiddulph.on.ca,lower-tier,township,Middlesex,43.2,-81.383333,169.08,4166,4201,4187,4338,4700,5680,24.64,24.85,24.76,25.66,27.8,33.59,0.0084,-0.0033,0.0361,0.0834,0.2085
"Macdonald, Meredith and Aberdeen Additional",https://echobay.ca,single-tier,township,Algoma,46.483333,-84.066667,163.26,1521,1452,1550,1464,1609,1513,9.32,8.89,9.49,8.97,9.86,9.27,-0.0454,0.0675,-0.0555,0.099,-0.0597
Machar,http://www.machartownship.net,single-tier,township,Parry Sound,45.866667,-79.466667,182.65,835,849,866,923,882,969,4.57,4.65,4.74,5.05,4.83,5.31,0.0168,0.02,0.0658,-0.0444,0.0986
Machin,https://www.visitmachin.com,single-tier,municipality,Kenora,49.783333,-93.166667,290.14,1117,1143,978,935,971,1012,3.85,3.94,3.37,3.22,3.35,3.49,0.0233,-0.1444,-0.044,0.0385,0.0422
Madawaska Valley,https://www.madawaskavalley.ca,lower-tier,township,Renfrew,45.5,-77.666667,665.83,4342,4406,4381,4282,4123,3927,6.52,6.62,6.58,6.43,6.19,5.9,0.0147,-0.0057,-0.0226,-0.0371,-0.0475
Madoc,https://www.madoc.ca,lower-tier,township,Hastings,44.583333,-77.516667,274.58,2031,2044,2069,2166,2078,2233,7.4,7.44,7.54,7.89,7.57,8.13,0.0064,0.0122,0.0469,-0.0406,0.0746
Magnetawan,https://magnetawan.com,single-tier,municipality,Parry Sound,45.666667,-79.633333,526.31,1324,1342,1610,1454,1390,1753,2.52,2.55,3.06,2.76,2.64,3.33,0.0136,0.1997,-0.0969,-0.044,0.2612
Malahide,https://www.malahide.ca,lower-tier,township,Elgin,42.792778,-80.936111,394.27,8891,8809,8828,9146,9292,9308,22.55,22.34,22.39,23.2,23.57,23.61,-0.0092,0.0022,0.036,0.016,0.0017
Manitouwadge,https://www.manitouwadge.ca,single-tier,township,Thunder Bay,49.133333,-85.833333,352.17,3395,2949,2300,2105,1937,1974,9.64,8.37,6.53,5.98,5.5,5.61,-0.1314,-0.2201,-0.0848,-0.0798,0.0191
Mapleton,https://mapleton.ca,lower-tier,township,Wellington,43.75,-80.6667,535.56,8827,9303,9851,9989,10527,10839,16.48,17.37,18.39,18.65,19.66,20.24,0.053900000000000003,0.0589,0.014,0.053900000000000003,0.0296
Marathon,https://www.marathon.ca,single-tier,town,Thunder Bay,48.75,-86.366667,167.03,4791,4416,3863,3353,3273,3138,28.68,26.44,23.13,20.07,19.6,18.79,-0.0783,-0.1252,-0.132,-0.0239,-0.0412
Markham,https://www.markham.ca,lower-tier,city,York,43.876667,-79.263333,210.93,173383,208615,261573,301709,328966,338503,821.99,989.02,1240.09,1430.38,1559.6,1604.81,0.2032,0.2539,0.1534,0.0903,0.029
Markstay-Warren,https://markstay-warren.ca,single-tier,municipality,Sudbury,46.5,-80.5,505.92,2967,2627,2475,2297,2656,2708,5.86,5.19,4.89,4.54,5.25,5.35,-0.1146,-0.0579,-0.0719,0.1563,0.0196
Marmora and Lake,https://marmoraandlake.ca,lower-tier,municipality,Hastings,44.6425,-77.737222,538.24,3874,3985,3912,4074,3953,4267,7.2,7.4,7.27,7.57,7.34,7.93,0.0287,-0.0183,0.0414,-0.0297,0.0794
Matachewan,https://www.matachewan.com,single-tier,township,Timiskaming,48,-80.65,539.56,402,308,375,409,225,268,0.75,0.57,0.7,0.76,0.42,0.5,-0.2338,0.2175,0.0907,-0.4499,0.1911
Mattawa,https://mattawa.ca,single-tier,town,Nipissing,46.316667,-78.7,3.67,2281,2270,2003,2023,1993,1881,621.53,618.53,545.78,551.23,543.05,512.53,-0.0048,-0.1176,0.01,-0.0148,-0.0562
Mattawan,https://mattawan.ca,single-tier,township,Nipissing,46.333333,-78.833333,200.12,115,114,147,162,161,153,0.57,0.57,0.73,0.81,0.8,0.76,-0.0087,0.2895,0.102,-0.0062,-0.0497
Mattice-Val Côté,https://www.matticevalcote.ca,single-tier,township,Cochrane,49.645833,-83.286944,412.81,935,891,772,686,648,542,2.26,2.16,1.87,1.66,1.57,1.31,-0.0471,-0.1336,-0.1114,-0.0554,-0.1636
McDougall,https://www.mcdougall.ca,single-tier,municipality,Parry Sound,45.45,-80.016667,264.02,2299,2608,2704,2705,2702,2744,8.71,9.88,10.24,10.25,10.23,10.39,0.1344,0.0368,4e-4,-0.0011,0.0155
McGarry,https://www.mcgarry.ca,single-tier,township,Timiskaming,48.146389,-79.570556,85.62,1015,787,674,595,609,579,11.85,9.19,7.87,6.95,7.11,6.76,-0.2246,-0.1436,-0.1172,0.0235,-0.0493
McKellar,https://www.mckellar.ca,single-tier,township,Parry Sound,45.483333,-79.85,176.07,939,933,1080,1144,1111,1419,5.33,5.3,6.13,6.5,6.31,8.06,-0.0064,0.1576,0.0593,-0.0288,0.2772
McMurrich/Monteith,https://www.mcmurrichmonteith.com,single-tier,township,Parry Sound,45.45,-79.483333,275.26,723,766,791,779,824,907,2.63,2.78,2.87,2.83,2.99,3.3,0.0595,0.0326,-0.0152,0.0578,0.1007
McNab/Braeside,https://www.mcnabbraeside.com,lower-tier,township,Renfrew,45.45,-76.5,255.28,6480,6843,7222,7371,7178,7591,25.38,26.81,28.29,28.87,28.12,29.74,0.056,0.0554,0.0206,-0.0262,0.0575
Meaford,https://www.meaford.ca,lower-tier,municipality,Grey,44.58,-80.73,587.57,10497,10381,10948,11100,10991,11485,17.87,17.67,18.63,18.89,18.71,19.55,-0.0111,0.0546,0.0139,-0.0098,0.0449
Melancthon,https://melancthontownship.ca,lower-tier,township,Dufferin,44.15,-80.266667,310.39,2607,2796,2895,2839,3008,3132,8.4,9.01,9.33,9.15,9.69,10.09,0.0725,0.0354,-0.0193,0.0595,0.0412
Merrickville–Wolford,http://www.merrickville-wolford.ca,lower-tier,village,Leeds and Grenville,44.916667,-75.833333,214.33,2630,2812,2867,2850,3067,3135,12.27,13.12,13.38,13.3,14.31,14.63,0.0692,0.0196,-0.0059,0.0761,0.0222
Middlesex Centre,https://middlesexcentre.ca,lower-tier,municipality,Middlesex,43.05,-81.45,588.16,12985,14242,15589,16487,17262,18928,22.08,24.21,26.5,28.03,29.35,32.18,0.0968,0.0946,0.0576,0.047,0.0965
Midland,https://www.midland.ca,lower-tier,town,Simcoe,44.75,-79.883333,35.33,16347,16214,16330,16572,16864,17817,462.69,458.93,462.21,469.06,477.33,504.3,-0.0081,0.0072,0.0148,0.0176,0.0565
Milton,https://www.milton.ca,lower-tier,town,Halton,43.508333,-79.883333,363.83,32104,31471,53889,84362,110128,132979,88.24,86.5,148.12,231.87,302.69,365.5,-0.0197,0.7123,0.5655,0.3054,0.2075
Minden Hills,https://www.mindenhills.ca,lower-tier,township,Haliburton,44.933333,-78.733333,847.37,5336,5312,5556,5655,6088,6971,6.3,6.27,6.56,6.67,7.18,8.23,-0.0045,0.0459,0.0178,0.0766,0.145
Minto,https://town.minto.on.ca,lower-tier,town,Wellington,43.916667,-80.866667,300.19,7854,8164,8504,8334,8671,9094,26.16,27.2,28.33,27.76,28.89,30.29,0.0395,0.0416,-0.02,0.0404,0.0488
Mississauga,https://www.mississauga.ca,lower-tier,city,Peel,43.6,-79.65,292.74,544382,612925,668599,713443,721599,717961,1859.61,2093.75,2283.93,2437.12,2464.98,2452.56,0.1259,0.0908,0.0671,0.0114,-0.005
